
id season_id game_number date home_team visiting_team home_goal_count visiting_goal_count periods overtime shootout status game_status venue_name venue_location attendance
64 1 70 2024-05-04T15:30:00-04:00 1 3 4 3 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 5964
65 1 51 2024-03-16T18:00:00-04:00 1 5 2 1 4 1 1 4 Final SO Little Caesars Arena Detroit, Michigan 13736
66 1 52 2024-03-17T12:30:00-04:00 3 6 1 2 3 0 0 4 Final PPG Paints Arena Pittsburgh, Pennsylvania 8850
67 1 61 2024-04-20T13:00:00-04:00 3 6 2 3 4 1 0 4 Final OT Bell Centre Montréal, QC 21105
68 1 62 2024-04-20T15:30:00-04:00 4 1 1 2 3 0 0 4 Final Prudential Center Newark, NJ 5132
69 1 63 2024-04-24T19:00:00-04:00 5 1 3 2 4 1 1 4 Final SO TD Place Ottawa, Ontario 7686
70 1 66 2024-04-27T13:00:00-05:00 2 1 1 2 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 9977
71 1 68 2024-04-30T19:00:00-04:00 4 5 4 3 3 0 0 4 Final Prudential Center Newark, NJ 2992
72 1 71 2024-05-05T19:00:00-04:00 6 5 5 2 3 0 0 4 Final Mattamy Athletic Centre Toronto, Ontario 2620
73 1 72 2024-05-04T13:00:00-04:00 4 2 5 2 3 0 0 4 Final UBS Arena Elmont, New York 1563
74 2 1 2023-12-04T13:00:00-05:00 1 6 2 5 4 1 0 4 Final OT Utica University Nexus Center - Mastrovito Hyundai Utica, NY 0
75 2 2 2023-12-04T16:15:00-05:00 2 5 8 4 4 1 1 4 Final SO Utica University Nexus Center - Mastrovito Hyundai Utica, NY 0
76 2 3 2023-12-04T19:30:00-05:00 4 3 4 0 4 1 1 4 Final SO Utica University Nexus Center - Mastrovito Hyundai Utica, NY 0
77 2 4 2023-12-05T12:00:00-05:00 6 2 4 5 4 1 0 4 Final OT Utica University Nexus Center - Mastrovito Hyundai Utica, NY 0
78 2 5 2023-12-05T15:15:00-05:00 3 1 3 1 4 1 0 4 Final OT Utica University Nexus Center - Mastrovito Hyundai Utica, NY 0
79 2 6 2023-12-05T19:30:00-05:00 5 4 1 2 4 1 0 4 Final SO Utica University Nexus Center - Mastrovito Hyundai Utica, NY 0
80 2 7 2023-12-07T09:00:00-05:00 2 3 4 3 3 0 0 4 Final Utica University Nexus Center - Mastrovito Hyundai Utica, NY 0
81 2 8 2023-12-07T12:15:00-05:00 6 4 4 6 4 1 0 4 Final OT Utica University Nexus Center - Mastrovito Hyundai Utica, NY 0
82 2 9 2023-12-07T15:30:00-05:00 1 5 3 1 4 1 0 4 Final OT Utica University Nexus Center - Mastrovito Hyundai Utica, NY 0
83 1 6 2024-02-19T16:30:00-05:00 1 5 2 4 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 2849
84 3 1 2024-05-08T19:00:00-04:00 6 2 4 0 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8473
85 3 2 2024-05-09T19:00:00-04:00 3 1 1 2 4 1 0 4 Final OT Place Bell Laval, Québec 9135
86 3 3 2024-05-10T19:00:00-04:00 6 2 2 0 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8581
87 3 4 2024-05-11T19:00:00-04:00 3 1 1 2 6 1 0 4 Final OT3 Place Bell Laval, Québec 10172
88 3 5 2024-05-13T20:00:00-04:00 2 6 2 0 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 3344
89 3 6 2024-05-14T19:00:00-04:00 1 3 3 2 4 1 0 4 Final OT Tsongas Center Lowell, Massachusetts 2781
90 3 7 2024-05-15T20:00:00-04:00 2 6 1 0 5 1 0 4 Final OT2 Xcel Energy Center Saint Paul, Minnesota 2766
92 3 9 2024-05-17T19:00:00-04:00 6 2 1 4 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8501
94 3 11 2024-05-19T17:00:00-04:00 1 2 4 3 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 4508
95 3 12 2024-05-21T19:00:00-04:00 1 2 0 3 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 4543
96 3 13 2024-05-24T18:00:00-05:00 2 1 4 1 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 9054
97 3 14 2024-05-26T17:00:00-05:00 2 1 0 1 5 1 0 4 Final OT2 Xcel Energy Center Saint Paul, Minnesota 13104
98 3 15 2024-05-29T19:00:00-04:00 1 2 0 3 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 6309
99 4 1 2024-11-20T14:00:00-05:00 1 3 3 1 3 0 0 4 Final Verdun Auditorium Montréal, Québec 0
100 4 2 2024-11-20T14:15:00-05:00 2 6 3 1 3 0 0 4 Final Ford Performance Centre Toronto, ON 0
101 4 3 2024-11-21T14:00:00-05:00 5 1 6 1 3 0 0 4 Final Verdun Auditorium Montréal, Québec 0
102 4 4 2024-11-21T14:30:00-05:00 4 2 3 4 4 1 0 4 Final OT Ford Performance Centre Toronto, ON 0
103 4 5 2024-11-22T14:00:00-05:00 3 5 6 3 3 0 0 4 Final Verdun Auditorium Montréal, Québec 0
104 4 6 2024-11-22T14:30:00-05:00 6 4 2 5 3 0 0 4 Final Ford Performance Centre Toronto, ON 0
105 5 1 2024-11-30T14:00:00-05:00 6 1 3 1 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8089
106 5 2 2024-11-30T17:00:00-05:00 3 5 4 3 4 1 1 4 Final SO Place Bell Laval, Québec 10033
